Accept people as they are.,IV+II+,,IV+,II+,,,,,
Act at the expense of others.,II+III+,,II+,III+,,,,,
Act comfortably with others.,I+II+,,I+,II+,,,,,
Act wild and crazy.,I+III-,,I+,III-,,,,,
Adapt easily to new situations.,IV+I+,,IV+,I+,,,,,
Am a creature of habit.,IV+III-,,IV+,III-,,,,,
Am able to control my cravings.,IV+III+,,IV+,III+,,,,,
Am able to find out things by myself.,V+IV+,,V+,IV+,,,,,
Am afraid to draw attention to myself.,I+V+,,I+,V+,,,,,
Am always busy.,I+III+,,I+,III+,,,,,
Am always in the same mood.,IV+V-,,IV+,V-,,,,,
Am always prepared.,III+IV+,,III+,IV+,,,,,
Am attached to conventional ways.,IV+III-,,IV+,III-,,,,,
Am calm even in tense situations.,IV+V+,,IV+,V+,,,,,
Am careful to avoid making mistakes.,III+III+,,III+,III+,,,,,
Am comfortable in unfamiliar situations.,I+IV+,,I+,IV+,,,,,
Am concerned about others.,II+III-,,II+,III-,,,,,
Am deeply moved by others' misfortunes.,II+III-,,II+,III-,,,,,
Am easily confused.,IV+V+,,IV+,V+,,,,,
Am easily distracted.,III+IV+,,III+,IV+,,,,,
Am easily excited.,IV+I-,,IV+,I-,,,,,
Am easily frightened.,IV+V+,,IV+,V+,,,,,
Am easily hurt.,IV+V+,,IV+,V+,,,,,
Am easily moved to tears.,IV+II-,,IV+,II-,,,,,
Am easily offended.,IV+V+,,IV+,V+,,,,,
Am easily talked into doing silly things.,III+I-,,III+,I-,,,,,
Am easy to satisfy.,II+IV+,,II+,IV+,,,,,
Am exacting in my work.,III+I+,,III+,I+,,,,,
Am filled with doubts about things.,IV+I+,,IV+,I+,,,,,
Am full of ideas.,V+I+,,V+,I+,,,,,
Am good at many things.,V+I+,,V+,I+,,,,,
Am guided by my moods.,IV+III+,,IV+,III+,,,,,
Am hard to satisfy.,II+IV+,,II+,IV+,,,,,
Am interested in people.,II+I+,,II+,I+,,,,,
Am never at a loss for words.,I+V+,,I+,V+,,,,,
Am not afraid of providing criticism.,I+II-,,I+,II-,,,,,
Am not as strict as I should be.,III+II-,,III+,II-,,,,,
Am not bothered by disorder.,III+IV-,,III+,IV-,,,,,
Am not bothered by messy people.,III+IV-,,III+,IV-,,,,,
Am not disturbed by events.,IV+V-,,IV+,V-,,,,,
Am not easily affected by my emotions.,IV+II-,,IV+,II-,,,,,
Am not easily annoyed.,IV+II+,,IV+,II+,,,,,
Am not easily bothered by things.,IV+IV+,,IV+,IV+,,,,,
Am not easily distracted.,III+IV+,,III+,IV+,,,,,
Am not easily frustrated.,IV+IV+,,IV+,IV+,,,,,
Am not easily stirred.,IV+V-,,IV+,V-,,,,,
Am not embarrassed easily.,I+IV+,,I+,IV+,,,,,
Am not highly motivated to succeed.,I+III+,,I+,III+,,,,,
Am not in touch with my feelings.,II+V+,,II+,V+,,,,,
