I+I+,I+,I+,0.34,0.83
I+II+,I+,II+,0.37,0.85
I+III+,I+,III+,0.2,0.75
I+IV+,I+,IV+,0.31,0.82
I+V+,I+,V+,0.31,0.82
I+II-,I+,II-,0.19,0.72
I+III-,I+,III-,0.26,0.78
I+IV-,I+,IV-,0.35,0.84
I+V-,I+,V-,0.16,0.66
II+II+,II+,II+,0.3,0.81
II+I+,II+,I+,0.33,0.84
II+III+,II+,III+,0.18,0.73
II+IV+,II+,IV+,0.22,0.76
II+V+,II+,V+,0.2,0.7
II+I-,II+,I-,0.18,0.73
II+III-,II+,III-,0.2,0.74
II+IV-,II+,IV-,0.18,0.74
II+V-,II+,V-,0.16,0.71
III+III+,III+,III+,0.19,0.75
III+I+,III+,I+,0.3,0.83
III+II+,III+,II+,0.21,0.78
III+IV+,III+,IV+,0.27,0.81
III+V+,III+,V+,0.23,0.78
III+I-,III+,I-,0.21,0.77
III+II-,III+,II-,0.13,0.67
III+IV-,III+,IV-,0.26,0.76
III+V-,III+,V-,0.27,0.78
IV+IV+,IV+,IV+,0.37,0.86
IV+I+,IV+,I+,0.34,0.84
IV+II+,IV+,II+,0.33,0.83
IV+III+,IV+,III+,0.24,0.76
IV+V+,IV+,V+,0.29,0.84
IV+I-,IV+,I-,0.24,0.78
IV+II-,IV+,II-,0.37,0.84
IV+III-,IV+,III-,0.21,0.73
IV+V-,IV+,V-,0.22,0.76
V+V+,V+,V+,0.27,0.81
V+I+,V+,I+,0.37,0.84
V+II+,V+,II+,0.26,0.75
V+III+,V+,III+,0.26,0.74
V+IV+,V+,IV+,0.37,0.84
V+I-,V+,I-,0.18,0.71
V+II-,V+,II-,0.3,0.81
V+III-,V+,III-,0.27,0.78
V+IV-,V+,IV-,0.27,0.77
I-I-,I-,I-,0.34,0.83
I-II-,I-,II-,0.37,0.85
I-III-,I-,III-,0.2,0.75
I-IV-,I-,IV-,0.31,0.82
I-V-,I-,V-,0.31,0.82
I-II+,I-,II+,0.19,0.72
I-III+,I-,III+,0.26,0.78
I-IV+,I-,IV+,0.35,0.84
I-V+,I-,V+,0.16,0.66
II-II-,II-,II-,0.3,0.81
II-I-,II-,I-,0.33,0.84
II-III-,II-,III-,0.18,0.73
II-IV-,II-,IV-,0.22,0.76
II-V-,II-,V-,0.2,0.7
II-I+,II-,I+,0.18,0.73
II-III+,II-,III+,0.2,0.74
II-IV+,II-,IV+,0.18,0.74
II-V+,II-,V+,0.16,0.71
III-III-,III-,III-,0.19,0.75
III-I-,III-,I-,0.3,0.83
III-II-,III-,II-,0.21,0.78
III-IV-,III-,IV-,0.27,0.81
III-V-,III-,V-,0.23,0.78
III-I+,III-,I+,0.21,0.77
III-II+,III-,II+,0.13,0.67
III-IV+,III-,IV+,0.26,0.76
III-V+,III-,V+,0.27,0.78
IV-IV-,IV-,IV-,0.37,0.86
IV-I-,IV-,I-,0.34,0.84
IV-II-,IV-,II-,0.33,0.83
IV-III-,IV-,III-,0.24,0.76
IV-V-,IV-,V-,0.29,0.84
IV-I+,IV-,I+,0.24,0.78
IV-II+,IV-,II+,0.37,0.84
IV-III+,IV-,III+,0.21,0.73
IV-V+,IV-,V+,0.22,0.76
V-V-,V-,V-,0.27,0.81
V-I-,V-I-,,0.37,0.84
V-II-,V-,II-,0.26,0.75
V-III-,V-,III-,0.26,0.74
V-IV-,V-,IV-,0.37,0.84
V-I+,V-,I+,0.18,0.71
V-II+,V-,II+,0.3,0.81
V-III+,V-,III+,0.27,0.78
V-IV+,V-,IV+,0.27,0.77
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
